,Team,goalsFor,goalsAgainst,xGFor,xGAgainst,shotsFor,shotsAgainst,cornersFor,cornersAgainst,pkFor,pkAgainst,pkShotsFor,pkShotsAgainst,possessionPct,isHome,Result,PointsGained
131,SFS,0,0,1.06,1.02,14,9,5,7,0,0,0,0,0.5700000000000001,0,0,1
132,DOV,1,0,0.88,0.47,12,5,7,3,0,0,1,0,0.53,1,1,3
133,PRO,0,1,0.47,0.88,5,12,3,7,0,0,0,1,0.47,0,-1,0
134,LAR,2,1,1.88,0.32,18,3,3,2,0,0,0,0,0.48,1,1,3
135,SAS,1,2,0.32,1.88,3,18,2,3,0,0,0,0,0.52,0,-1,0
136,OAK,2,2,1.76,0.96,19,11,1,7,0,0,0,0,0.44,1,0,1
137,JAC,2,2,0.96,1.76,11,19,7,1,0,0,0,0,0.56,0,0,1
138,SJU,2,3,1.25,0.75,6,8,6,3,0,0,0,0,0.45,1,-1,0
139,AUG,3,2,0.75,1.25,8,6,3,6,0,0,0,0,0.55,0,1,3
140,WIC,2,2,1.36,2.24,22,23,0,5,0,0,0,0,0.6,1,0,1
141,ALB,2,2,2.24,1.36,23,22,5,0,0,0,0,0,0.4,0,0,1
142,TUC,2,4,1.33,1.62,8,5,7,0,0,0,0,0,0.46,1,-1,0
143,REN,4,2,1.62,1.33,5,8,0,7,0,0,0,0,0.54,0,1,3
144,OAK,1,3,1.68,1.35,23,10,7,6,0,0,0,0,0.45,1,-1,0
145,LRO,3,1,1.35,1.68,10,23,6,7,0,0,0,0,0.55,0,1,3
146,CHM,2,1,1.59,1.55,16,14,7,0,0,0,0,0,0.64,1,1,3
147,FAR,1,2,1.55,1.59,14,16,0,7,0,0,0,0,0.36,0,-1,0
148,LEX,7,0,2.47,0.18,20,10,3,4,0,0,0,0,0.52,1,1,3
149,LAR,0,7,0.18,2.47,10,20,4,3,0,0,0,0,0.48,0,-1,0
150,SJU,3,1,2.7,0.76,11,7,0,2,0,0,0,1,0.48,1,1,3
151,MOB,1,3,0.76,2.7,7,11,2,0,0,0,1,0,0.52,0,-1,0
152,AUG,2,2,1.26,1.55,11,12,4,6,0,0,0,1,0.6,1,0,1
153,MAN,2,2,1.55,1.26,12,11,6,4,0,0,1,0,0.4,0,0,1
154,SFS,4,1,2.38,0.8,19,18,12,7,0,0,0,0,0.73,1,1,3
155,TUC,1,4,0.8,2.38,18,19,7,12,0,0,0,0,0.27,0,-1,0
156,LEX,0,0,0.49,0.28,12,9,3,5,0,0,0,0,0.49,1,0,1
157,SJU,0,0,0.28,0.49,9,12,5,3,0,0,0,0,0.51,0,0,1
158,SAS,1,0,1.04,0.22,15,10,5,2,0,0,0,0,0.67,1,1,3
159,BAK,0,1,0.22,1.04,10,15,2,5,0,0,0,0,0.32999999999999996,0,-1,0
160,FOR,1,3,2.07,0.99,16,16,3,5,0,0,0,0,0.71,1,-1,0
161,TOL,3,1,0.99,2.07,16,16,5,3,0,0,0,0,0.29000000000000004,0,1,3
162,ALB,2,2,1.55,0.23,19,11,8,2,0,0,0,0,0.65,1,0,1
163,DOV,2,2,0.23,1.55,11,19,2,8,0,0,0,0,0.35,0,0,1
164,PRO,1,2,1.47,0.54,14,5,9,1,0,0,0,0,0.47,1,-1,0
165,SPR,2,1,0.54,1.47,5,14,1,9,0,0,0,0,0.53,0,1,3
166,JAC,0,2,0.52,1.18,17,10,9,3,0,0,0,0,0.56,1,-1,0
167,BOI,2,0,1.18,0.52,10,17,3,9,0,0,0,0,0.43999999999999995,0,1,3
168,ANC,1,0,1.87,0.86,21,16,9,2,0,0,0,0,0.41,1,1,3
169,REN,0,1,0.86,1.87,16,21,2,9,0,0,0,0,0.5900000000000001,0,-1,0
170,WIC,1,0,1.46,1.23,11,11,6,4,0,0,0,0,0.63,1,1,3
171,TAC,0,1,1.23,1.46,11,11,4,6,0,0,0,0,0.37,0,-1,0
172,DES,2,2,1.7,0.24,14,8,2,3,1,0,1,0,0.63,1,0,1
173,EUG,2,2,0.24,1.7,8,14,3,2,0,1,0,1,0.37,0,0,1
174,MOB,1,1,1.49,0.19,20,10,1,1,0,0,0,0,0.38,1,0,1
175,MAN,1,1,0.19,1.49,10,20,1,1,0,0,0,0,0.62,0,0,1
176,JAC,0,3,1.78,1.3,21,10,3,5,0,0,0,1,0.51,1,-1,0
177,LEX,3,0,1.3,1.78,10,21,5,3,0,0,1,0,0.49,0,1,3
178,TAC,1,3,0.9,2.11,18,18,7,10,0,0,0,0,0.58,1,-1,0
179,TUC,3,1,2.11,0.9,18,18,10,7,0,0,0,0,0.42000000000000004,0,1,3
180,LRO,1,1,2.25,0.92,17,14,5,7,0,0,0,0,0.69,1,0,1
181,CHM,1,1,0.92,2.25,14,17,7,5,0,0,0,0,0.31000000000000005,0,0,1
182,TOL,2,2,3.42,1.75,19,12,6,5,0,0,0,0,0.49,1,0,1
183,SAS,2,2,1.75,3.42,12,19,5,6,0,0,0,0,0.51,0,0,1
184,SPR,3,1,2.35,1.17,15,7,7,6,0,0,0,0,0.52,1,1,3
185,SJU,1,3,1.17,2.35,7,15,6,7,0,0,0,0,0.48,0,-1,0
186,BOI,3,1,3.72,0.2,18,13,6,5,0,0,0,0,0.53,1,1,3
187,TUC,1,3,0.2,3.72,13,18,5,6,0,0,0,0,0.47,0,-1,0
188,ANC,2,0,2.86,0.21,28,4,3,5,0,0,1,0,0.64,1,1,3
189,OAK,0,2,0.21,2.86,4,28,5,3,0,0,0,1,0.36,0,-1,0
190,BAK,0,1,1.37,0.81,16,12,8,10,0,0,0,0,0.46,1,-1,0
191,AUG,1,0,0.81,1.37,12,16,10,8,0,0,0,0,0.54,0,1,3
192,LAR,1,2,1.13,1.36,15,13,0,6,0,1,0,1,0.6,1,-1,0
193,DOV,2,1,1.36,1.13,13,15,6,0,1,0,1,0,0.4,0,1,3
194,PRO,4,1,2.59,2.23,21,16,1,5,0,0,1,0,0.52,1,1,3
195,ALB,1,4,2.23,2.59,16,21,5,1,0,0,0,1,0.48,0,-1,0
196,FAR,4,1,3.33,0.4,25,6,10,6,0,0,0,0,0.45,1,1,3
197,WIC,1,4,0.4,3.33,6,25,6,10,0,0,0,0,0.55,0,-1,0
198,TAC,1,3,0.69,2.36,15,17,4,3,0,0,0,0,0.59,1,-1,0
199,EUG,3,1,2.36,0.69,17,15,3,4,0,0,0,0,0.41000000000000003,0,1,3
200,DES,2,2,1.42,0.87,20,10,6,8,0,0,0,1,0.49,1,0,1
201,SFS,2,2,0.87,1.42,10,20,8,6,0,0,1,0,0.51,0,0,1
202,SFS,2,1,3.22,0.62,16,9,2,4,0,0,1,0,0.44,1,1,3
203,FOR,1,2,0.62,3.22,9,16,4,2,0,0,0,1,0.56,0,-1,0
204,REN,0,2,1.03,0.52,20,10,4,5,0,1,0,1,0.57,1,-1,0
205,DES,2,0,0.52,1.03,10,20,5,4,1,0,1,0,0.43000000000000005,0,1,3
206,EUG,4,3,1.16,1.64,19,15,5,6,0,0,0,0,0.41,1,1,3
207,BOI,3,4,1.64,1.16,15,19,6,5,0,0,0,0,0.5900000000000001,0,-1,0
208,DES,1,4,1.12,0.73,8,11,4,3,0,0,0,0,0.61,1,-1,0
209,SPR,4,1,0.73,1.12,11,8,3,4,0,0,0,0,0.39,0,1,3
210,OAK,5,0,2.78,0.47,19,14,2,6,0,0,0,0,0.53,1,1,3
211,WIC,0,5,0.47,2.78,14,19,6,2,0,0,0,0,0.47,0,-1,0
212,TAC,2,3,1.14,0.67,12,10,3,4,0,0,0,0,0.4,1,-1,0
213,LAR,3,2,0.67,1.14,10,12,4,3,0,0,0,0,0.6,0,1,3
214,REN,3,3,2.49,0.41,20,11,7,4,0,0,0,0,0.56,1,0,1
215,EUG,3,3,0.41,2.49,11,20,4,7,0,0,0,0,0.43999999999999995,0,0,1
216,LAR,0,0,1.36,0.86,11,6,3,7,0,0,0,0,0.53,1,0,1
217,TOL,0,0,0.86,1.36,6,11,7,3,0,0,0,0,0.47,0,0,1
218,JAC,3,2,2.13,1.55,24,10,7,3,0,0,0,0,0.63,1,1,3
219,FOR,2,3,1.55,2.13,10,24,3,7,0,0,0,0,0.37,0,-1,0
220,DOV,5,2,2.61,1.12,24,9,8,3,0,0,0,0,0.45,1,1,3
221,LEX,2,5,1.12,2.61,9,24,3,8,0,0,0,0,0.55,0,-1,0
222,FOR,1,0,0.98,0.9,9,11,5,2,0,0,0,0,0.57,1,1,3
223,LEX,0,1,0.9,0.98,11,9,2,5,0,0,0,0,0.43000000000000005,0,-1,0
224,BAK,1,2,1.27,1.64,9,20,2,3,0,0,0,0,0.55,1,-1,0
225,OAK,2,1,1.64,1.27,20,9,3,2,0,0,0,0,0.44999999999999996,0,1,3
226,CHM,0,1,0.95,1.95,13,17,4,7,0,0,0,1,0.52,1,-1,0
227,DES,1,0,1.95,0.95,17,13,7,4,0,0,1,0,0.48,0,1,3
228,MAN,3,7,1.26,2.03,12,9,7,6,0,0,0,0,0.53,1,-1,0
229,SJU,7,3,2.03,1.26,9,12,6,7,0,0,0,0,0.47,0,1,3
230,TOL,4,1,2.33,0.11,30,3,8,4,0,0,1,0,0.46,1,1,3
231,TUC,1,4,0.11,2.33,3,30,4,8,0,0,0,1,0.54,0,-1,0
232,REN,3,1,2.54,0.36,21,3,2,2,0,0,2,0,0.52,1,1,3
233,FAR,1,3,0.36,2.54,3,21,2,2,0,0,0,2,0.48,0,-1,0
234,SFS,2,0,1.52,0.53,12,10,2,3,0,0,0,0,0.54,1,1,3
235,ALB,0,2,0.53,1.52,10,12,3,2,0,0,0,0,0.45999999999999996,0,-1,0
236,BOI,1,3,2.36,1.2,16,10,6,3,1,0,1,0,0.35,1,-1,0
237,WIC,3,1,1.2,2.36,10,16,3,6,0,1,0,1,0.65,0,1,3
238,SPR,1,1,0.96,1.03,18,16,2,3,0,0,0,0,0.41,1,0,1
239,MOB,1,1,1.03,0.96,16,18,3,2,0,0,0,0,0.5900000000000001,0,0,1
240,SAS,0,2,1.23,1.2,12,9,9,5,0,0,0,0,0.66,1,-1,0
241,EUG,2,0,1.2,1.23,9,12,5,9,0,0,0,0,0.33999999999999997,0,1,3
242,AUG,2,3,0.72,1.26,12,10,2,3,0,0,0,0,0.66,1,-1,0
243,ANC,3,2,1.26,0.72,10,12,3,2,0,0,0,0,0.33999999999999997,0,1,3
244,LRO,0,0,1.49,0.59,21,6,5,5,0,0,0,0,0.59,1,0,1
245,PRO,0,0,0.59,1.49,6,21,5,5,0,0,0,0,0.41000000000000003,0,0,1
246,EUG,2,1,1.16,1.44,10,11,5,5,0,0,0,0,0.53,1,1,3
247,AUG,1,2,1.44,1.16,11,10,5,5,0,0,0,0,0.47,0,-1,0
248,LAR,2,0,1.52,0.43,18,2,6,4,1,0,1,0,0.54,1,1,3
249,BAK,0,2,0.43,1.52,2,18,4,6,0,1,0,1,0.45999999999999996,0,-1,0
250,OAK,1,0,2.08,0.37,11,4,8,5,0,0,1,0,0.61,1,1,3
251,TAC,0,1,0.37,2.08,4,11,5,8,0,0,0,1,0.39,0,-1,0
252,LEX,0,3,1.7,0.18,20,6,8,2,0,0,0,0,0.46,1,-1,0
253,TOL,3,0,0.18,1.7,6,20,2,8,0,0,0,0,0.54,0,1,3
254,MOB,1,3,0.65,1.89,3,16,2,6,0,0,0,0,0.44,1,-1,0
255,LRO,3,1,1.89,0.65,16,3,6,2,0,0,0,0,0.56,0,1,3
256,TUC,4,0,1.52,0.41,15,12,6,5,0,0,0,0,0.53,1,1,3
257,MAN,0,4,0.41,1.52,12,15,5,6,0,0,0,0,0.47,0,-1,0
258,BOI,1,1,0.34,0.35,13,4,3,7,0,0,0,0,0.53,1,0,1
259,CHM,1,1,0.35,0.34,4,13,7,3,0,0,0,0,0.47,0,0,1
260,JAC,2,2,2.42,0.83,22,13,6,2,0,0,1,0,0.49,1,0,1
261,DES,2,2,0.83,2.42,13,22,2,6,0,0,0,1,0.51,0,0,1
262,ALB,3,5,0.41,1.9,9,17,4,4,0,0,1,0,0.53,1,-1,0
263,ANC,5,3,1.9,0.41,17,9,4,4,0,0,0,1,0.47,0,1,3
264,FOR,4,0,0.44,1.23,6,18,3,1,0,0,0,0,0.62,1,1,3
265,SAS,0,4,1.23,0.44,18,6,1,3,0,0,0,0,0.38,0,-1,0
266,PRO,2,2,1.61,0.73,19,12,5,7,0,0,1,0,0.55,1,0,1
267,BAK,2,2,0.73,1.61,12,19,7,5,0,0,0,1,0.44999999999999996,0,0,1
268,MAN,3,1,0.67,1.53,19,18,9,9,0,0,0,0,0.53,1,1,3
269,TOL,1,3,1.53,0.67,18,19,9,9,0,0,0,0,0.47,0,-1,0
270,SJU,0,0,1.27,0.39,14,1,4,2,0,0,1,0,0.58,1,0,1
271,OAK,0,0,0.39,1.27,1,14,2,4,0,0,0,1,0.42000000000000004,0,0,1
272,REN,1,1,1.65,0.4,20,13,7,4,0,0,1,0,0.49,1,0,1
273,TAC,1,1,0.4,1.65,13,20,4,7,0,0,0,1,0.51,0,0,1
274,EUG,2,2,1.93,0.72,28,6,5,7,0,0,0,0,0.53,1,0,1
275,LAR,2,2,0.72,1.93,6,28,7,5,0,0,0,0,0.47,0,0,1
276,DOV,4,0,3.64,0.55,22,9,3,11,0,0,0,0,0.42,1,1,3
277,AUG,0,4,0.55,3.64,9,22,11,3,0,0,0,0,0.5800000000000001,0,-1,0
278,FAR,4,1,1.5,0.14,6,16,11,6,0,0,0,0,0.53,1,1,3
279,SPR,1,4,0.14,1.5,16,6,6,11,0,0,0,0,0.47,0,-1,0
280,MOB,1,1,0.32,0.6,11,10,4,1,0,0,0,0,0.63,1,0,1
281,CHM,1,1,0.6,0.32,10,11,1,4,0,0,0,0,0.37,0,0,1
282,FAR,1,2,1.13,0.74,12,13,11,3,0,0,0,0,0.48,1,-1,0
283,SAS,2,1,0.74,1.13,13,12,3,11,0,0,0,0,0.52,0,1,3
284,ALB,3,3,0.51,1.12,5,9,3,0,0,0,0,0,0.4,1,0,1
285,TUC,3,3,1.12,0.51,9,5,0,3,0,0,0,0,0.6,0,0,1
286,SFS,3,3,2.94,2.15,20,19,7,3,0,0,0,0,0.53,1,0,1
287,BAK,3,3,2.15,2.94,19,20,3,7,0,0,0,0,0.47,0,0,1
288,REN,1,3,1.39,1.41,21,9,8,4,0,0,0,0,0.52,1,-1,0
289,JAC,3,1,1.41,1.39,9,21,4,8,0,0,0,0,0.48,0,1,3
290,JAC,2,3,1.01,2.42,7,17,5,5,0,0,0,0,0.65,1,-1,0
291,DOV,3,2,2.42,1.01,17,7,5,5,0,0,0,0,0.35,0,1,3
292,LEX,1,1,1.48,0.92,10,14,5,1,0,0,0,1,0.45,1,0,1
293,AUG,1,1,0.92,1.48,14,10,1,5,0,0,1,0,0.55,0,0,1
294,MAN,7,1,1.82,1.28,16,15,1,7,0,0,2,0,0.56,1,1,3
295,DOV,1,7,1.28,1.82,15,16,7,1,0,0,0,2,0.43999999999999995,0,-1,0
296,SPR,0,5,1.15,1.56,16,17,5,5,0,0,0,0,0.42,1,-1,0
297,LRO,5,0,1.56,1.15,17,16,5,5,0,0,0,0,0.5800000000000001,0,1,3
298,DES,2,4,1.57,1.79,15,5,5,7,0,0,0,0,0.63,1,-1,0
299,FOR,4,2,1.79,1.57,5,15,7,5,0,0,0,0,0.37,0,1,3
300,EUG,0,2,1.02,0.88,9,11,7,3,0,0,1,0,0.43,1,-1,0
301,FAR,2,0,0.88,1.02,11,9,3,7,0,0,0,1,0.5700000000000001,0,1,3
302,MOB,1,3,1.08,2.27,12,15,4,4,0,0,0,0,0.62,1,-1,0
303,REN,3,1,2.27,1.08,15,12,4,4,0,0,0,0,0.38,0,1,3
304,AUG,2,0,2.05,0.69,9,13,8,5,0,0,1,0,0.5,1,1,3
